median,average,medianCount,pointCount,x,y,zoomLevel
0,0,0,36,18650,24008,16
0,0,0,31,18650,24009,16
0,0,0,10,18651,24008,16
0,0,0,30,18651,24009,16
3.377579827,3.793664235,20545.81809,6083,18622,24044,16
2.620640427,41.88973433,1847.551501,705,18622,24045,16
392.3487821,398.6397229,48651.24898,124,18623,24045,16
2.391044527,3.514102784,27226.82403,11387,18637,24034,16
2.471380292,13.396664,6682.612308,2704,18637,24035,16
2.286462448,4.679381878,3365.672723,1472,18636,24034,16
2.912434758,5.041469433,29666.06045,10186,18636,24035,16
2.594776173,3.08627433,8661.362864,3338,18656,24064,16
3.436893986,6.188467486,1429.747898,416,18656,24065,16
0.731314473,0.90597011,27.78994996,38,18657,24064,16
3.240363635,3.610121424,2099.755636,648,18657,24065,16
2433.869041,2433.869041,184974.0471,76,18650,24016,16
2067.828056,2067.828056,43424.38917,21,18650,24017,16
2.680024171,3.021624956,793.2871547,296,18622,24019,16
66.97866056,66.97866056,1406.551872,21,18649,24076,16
2.690045754,3.294294168,23825.73525,8857,18649,24077,16
8.813495912,61.23352443,11113.81834,1261,18667,24046,16
3.287325208,25.31782695,4286.672071,1304,18667,24047,16
2.41152633,3.59560786,27182.72479,11272,18666,24046,16
2.396907817,3.631523684,26471.44993,11044,18666,24047,16
5.531388207,28.37559987,1830.889497,331,18674,24076,16
3.134933901,4.271340294,37985.99407,12117,18674,24077,16
2.952909836,4.45254094,13793.04184,4671,18675,24077,16
2506.28623,2506.28623,190477.7535,76,18651,24016,16
0,0,0,20,18658,24002,16
2.814505743,3.930507269,2777.917168,987,18661,24062,16
2.410908769,3.056033724,7054.319059,2926,18661,24063,16
3.088389873,3.604119125,11967.51076,3875,18660,24062,16
2.421915025,3.018489271,3136.379957,1295,18660,24063,16
1.750143857,6.087893399,1419.366668,811,18629,24070,16
3.541647352,7.727167927,12491.39021,3527,18629,24071,16
2.787934828,3.451718282,5107.496605,1832,18628,24070,16
5.430053098,20.65808165,15513.6617,2857,18611,24034,16
46.45188199,46.70996395,2043.882807,44,18611,24035,16
4.062469954,12.23945886,52978.67067,13041,18610,24034,16
36.96258168,42.3584849,5211.724016,141,18610,24035,16
3.753449862,3.915849714,2702.483901,720,18617,24026,16
5.674887627,9.365210274,45376.40147,7996,18617,24027,16
2.359853354,3.431438359,2999.373613,1271,18616,24026,16
4.969101413,6.724214909,14236.47555,2865,18616,24027,16
1.907567685,14.20531828,36.24378602,19,18657,24054,16
3.713707496,5.235884213,1637.745006,441,18657,24055,16
3.187941994,3.549683495,14256.4766,4472,18656,24054,16
3.549267517,3.799078699,16976.14654,4783,18656,24055,16
3.301548505,3.438211542,359.868787,109,18671,24014,16
2.861486805,3.365555709,31545.03054,11024,18671,24015,16
2.970033149,3.493316016,17454.88482,5877,18670,24015,16
3.236410356,24.11088255,2734.766751,845,18628,24071,16
3.188956796,3.720916324,841.8845942,264,18672,24076,16
2.714728748,3.631129033,31010.34648,11423,18642,24024,16
2.309477923,2.872592224,27341.90913,11839,18642,24025,16
2.708564115,3.794482472,20297.97948,7494,18643,24024,16
2.55386734,24.04422217,426.4958458,167,18643,24025,16
2.107380222,2.652066994,3902.868171,1852,18644,24076,16
2.918981549,3.557751218,9591.773371,3286,18644,24077,16
3.031001294,2.896828898,172.7670737,57,18659,24026,16
2.773148205,3.356841629,15940.05588,5748,18659,24027,16
2.651527885,13.11974559,2412.890376,910,18626,24016,16
2.607239632,9.283718443,3480.664909,1335,18626,24017,16
3.050081811,2.755038586,466.6625171,153,18658,24026,16
2.48883362,3.123392407,14300.83798,5746,18658,24027,16
2.268087301,3.459592738,16699.92679,7363,18627,24016,16
2.503189126,3.566554078,23489.92676,9384,18627,24017,16
2.132486883,2.499998668,2081.307198,976,18626,24020,16
2.990196482,3.311980003,25303.04263,8462,18626,24021,16
1.918087613,2.297730101,1409.794396,735,18627,24020,16
2.467522464,5.10925444,8680.744029,3518,18627,24021,16
3.090734241,3.304964584,28725.28403,9294,18645,24079,16
2.901660033,3.165578389,30824.33453,10623,18644,24078,16
3.013909278,3.238460659,2350.849237,780,18644,24079,16
4.660651577,4.939386206,10882.62143,2335,18667,24062,16
4.645194156,5.383662954,12012.47209,2586,18667,24063,16
3.76432464,4.502316447,26143.23462,6945,18666,24062,16
2.877530709,3.24507133,6229.853985,2165,18666,24063,16
2.48204256,5.750459597,19188.67103,7731,18669,24058,16
2.949050004,4.336684249,6169.412609,2092,18669,24059,16
2.633540151,10.98311987,14518.70685,5513,18668,24058,16
256.932496,256.932496,770.7974879,3,18613,24050,16
3.060979888,3.598519221,11224.61325,3667,18613,24051,16
71.65253625,71.65253625,143.3050725,2,18612,24050,16
2.671810804,3.180045559,10048.68043,3761,18612,24051,16
2.279881909,3.898688907,6262.835605,2747,18628,24072,16
2.720300754,4.325658317,8688.640609,3194,18628,24073,16
3.305548084,4.275381839,63658.24499,19258,18629,24072,16
3.051932628,4.752407202,33592.62243,11007,18629,24073,16
2.900596087,4.414974479,28298.21543,9756,18643,24042,16
2.626739894,3.863191293,22815.86272,8686,18643,24043,16
2.483415495,5.46535538,22455.0429,9042,18642,24042,16
1.781694154,5.673954625,7007.403109,3933,18642,24043,16
0,0,0,39,18652,24008,16
0,0,0,30,18653,24008,16
3.146373602,5.827235476,43687.39747,13885,18668,24016,16
3.237612409,13.69921815,1586.43008,490,18668,24017,16
3.078145778,5.292874752,75820.8868,24632,18669,24016,16
2.392849639,2.995212628,23117.32036,9661,18669,24017,16
2.224526851,2.473133384,667.3580554,300,18668,24059,16
2.855636487,21.84352688,14435.24244,5055,18671,24054,16
3.167177709,4.927607876,19940.55085,6296,18671,24055,16
3.077698743,9.681067621,14172.80271,4605,18670,24054,16
2.704476289,16.83251798,8283.810874,3063,18670,24055,16
2.623246244,3.574247714,31143.17941,11872,18613,24074,16
2.834935572,18.1630074,2936.993253,1036,18613,24075,16
2.75830438,3.086463399,27547.18585,9987,18612,24074,16
2.275686104,10.69603211,2910.602527,1279,18612,24075,16
2.477277239,6.585532064,34159.17585,13789,18639,24038,16
2.716554085,9.073961878,10409.83525,3832,18639,24039,16
2.29855576,11.20364572,4445.406839,1934,18638,24038,16
2.303666643,4.602858566,19811.53313,8600,18638,24039,16
2.001747104,2.557674025,6483.658869,3239,18611,24038,16
2.866847017,7.808698202,3038.857838,1060,18611,24039,16
2.651641955,9.768001285,1829.632949,690,18610,24039,16
2.213746068,3.418788965,6993.223827,3159,18617,24070,16
2.801674479,22.51162201,493.0947083,176,18617,24071,16
2.203535654,2.641653536,3519.04644,1597,18616,24070,16
3.510016892,13.466066,2039.319814,581,18616,24071,16
5.032738167,76.26923536,226.4732175,45,18637,24058,16
2.866163746,4.60148591,21026.17724,7336,18637,24059,16
105.4504967,105.4504967,2530.811922,24,18636,24058,16
4.236866078,5.89320999,53973.43697,12739,18636,24059,16
1.997962429,54.28234913,861.1218069,431,18639,24030,16
2.377167828,24.98809612,1901.734262,800,18639,24031,16
2.116095118,11.56668563,920.5013762,435,18638,24030,16
3.473166745,4.224656344,15782.06969,4544,18638,24031,16
1.892871768,1.760090997,168.4655873,89,18612,24012,16
4.21051201,4.034378627,4109.459722,976,18613,24012,16
3.338996244,3.384905361,14180.71705,4247,18613,24013,16
2.378206657,3.319228487,10975.42372,4615,18617,24018,16
2.21498594,3.10454074,9750.368107,4402,18617,24019,16
2.757870239,3.305402842,9396.063903,3407,18619,24046,16
2.527487947,3.087508905,10446.10769,4133,18619,24047,16
2.280500779,2.768492822,681.8697328,299,18618,24046,16
2.370075317,2.805199011,26480.85151,11173,18627,24030,16
2.69597401,3.07587011,12520.1033,4644,18627,24031,16
3.244069862,3.223775369,6533.556703,2014,18626,24030,16
2.715116378,3.31222879,25926.6463,9549,18626,24031,16
2.198175779,4.413550122,22562.07619,10264,18639,24034,16
2.054958088,4.962330806,13938.78071,6783,18639,24035,16
25.14774964,24.69635319,4752.924682,189,18613,24070,16
